Access_ID,Date,AccountMng_Pages,AccountMng_Duration,FAQ_Pages,FAQ_Duration,Product_Pages,Product_Duration,GoogleAnalytics_BounceRate,GoogleAnalytics_ExitRate,GoogleAnalytics_PageValue,OS,Browser,Country,Type_of_Traffic,Type_of_Visitor,Buy
104628103,30-May-20,1,32,0,0,9,455,0,0.0222,18.6533,Windows,2,Germany,2,Returner,1
104650368,5-Nov-20,1,0,0,0,14,1125.875,0,0.0429,0,Windows,2,Portugal,2,Returner,0
104662870,30-Sep-20,19,341.8167,1,51.4,429,9661.5858,0.003,0.0125,3.4594,Windows,2,United Kingdom,1,Returner,0
104705625,12-Feb-20,2,31,1,16,36,2083.531,0,0.0135,0,Windows,2,Brazil,3,Returner,0
104809719,15-Dec-20,0,0,0,0,9,296.3929,0,0.025,0,Android,1,Portugal,3,Returner,0
104811953,16-Mar-20,3,16.3333,0,0,23,505.5833,0.008,0.03,9.1501,iOS,1,Portugal,2,Returner,1
105045048,6-Sep-20,4,381.8,0,0,1,31.2,0,0.04,0,Windows,4,Brazil,2,Returner,0
105167940,20-Oct-20,1,19.2,0,0,42,2197,0,0.0136,0,Windows,2,Portugal,1,Returner,0
105311605,28-May-20,1,7,0,0,151,2564.2782,0.0092,0.0211,0,Android,1,Portugal,12,Returner,0
105313007,7-Nov-20,0,0,0,0,2,27.5,0,0.1,0,Windows,2,Portugal,1,Returner,0
105317095,2-May-20,0,0,0,0,1,0,0.2,0.2,0,Android,1,Brazil,1,Returner,0
105337816,24-Mar-20,4,539.5,0,0,1,0,0,0.05,0,MacOSX,2,Germany,8,New_Access,0
105399772,25-Nov-20,1,16,0,0,44,2939.625,0,0.0022,32.8121,Windows,2,Germany,2,Returner,1
105470965,10-May-20,6,141.5,3,474.5,46,1431.3333,0.0037,0.0154,6.0767,Android,1,Portugal,4,Returner,0
105527111,6-Sep-20,2,268.08,0,0,13,420.2467,0.0421,0.0649,0,MacOSX,2,Portugal,13,Returner,1
105537587,30-Nov-20,1,73,0,0,12,2156.5,0.0182,0.0273,68.8877,MacOSX,2,Portugal,2,New_Access,1
105593053,8-Dec-20,1,5,0,0,29,3441.4393,0.0071,0.0057,0,MacOSX,2,Germany,10,Returner,0
105635569,20-May-20,0,0,0,0,1,0,0.2,0.2,0,Windows,5,Portugal,3,Returner,0
105730456,16-Nov-20,2,53.5,0,0,85,4478.6994,0.0024,0.0162,0,Windows,2,Portugal,2,Returner,1
105851108,11-Mar-20,2,95.5,0,0,13,334.5,0,0.0027,0,MacOSX,2,Portugal,8,New_Access,0
105855578,2-Mar-20,0,0,0,0,2,18,0.1,0.15,0,Windows,5,Spain,10,Returner,0
105875577,25-Dec-20,0,0,0,0,3,98,0,0.0667,0,Android,1,United Kingdom,2,Returner,0
105950349,18-Mar-20,5,79.3333,3,242.0556,17,1142.8169,0.0068,0.0185,62.1689,MacOSX,2,Other,2,Returner,0
105975089,4-Mar-20,1,13,0,0,19,614.9444,0,0.0221,0,MacOSX,2,Spain,3,Returner,0
105986457,27-Nov-20,2,147.5,7,209,48,698.6715,0.0045,0.0199,68.9136,MacOSX,2,Italy,11,Returner,1
106023212,31-Mar-20,3,199.75,0,0,8,331.4,0,0.0033,0,MacOSX,2,France,10,New_Access,0
106239460,26-May-20,0,0,0,0,5,87,0.04,0.06,0,Windows,2,Spain,6,Returner,0
106257929,29-Nov-20,0,0,0,0,23,709.75,0.0292,0.0431,0,Windows,2,Portugal,2,Returner,0
106276089,7-Dec-20,0,0,2,19.5,48,1249.75,0.0083,0.0205,0,Windows,2,Portugal,2,Returner,0
106362565,22-Feb-20,0,0,0,0,6,117.5,0,0.0333,0,Android,1,Portugal,3,Returner,0
106508232,13-May-20,2,42.5,0,0,48,970.4193,0.0086,0.0251,5.54,Windows,2,Brazil,4,Returner,1
106770834,21-May-20,3,52.3333,5,81.5,23,541.6667,0.0011,0.0471,10.6481,iOS,1,Portugal,4,Returner,1
106971186,26-Nov-20,5,75.5,0,0,24,1009.95,0.0074,0.0185,0,Windows,4,Other,3,Returner,0
107165779,7-May-20,10,527,3,213,26,994.8222,0,0.0034,0,MacOSX,2,Portugal,2,Returner,0
107268888,29-Mar-20,0,0,0,0,6,193,0,0.0333,0,iOS,1,Spain,3,Returner,0
107290109,21-Nov-20,0,0,0,0,16,242.75,0,0.0049,0,Android,8,France,11,Returner,0
107340205,29-May-20,3,72.5,4,148,24,377.5,0.0067,0.02,0,Android,1,Portugal,3,Returner,0
107375098,7-Aug-20,1,0,3,69,15,352.875,0,0.0556,0,Windows,2,Spain,2,Returner,0
107406967,29-Oct-20,3,213,0,0,2,338,0,0,112.4141,Android,1,Portugal,5,Returner,1
107427658,17-May-20,0,0,0,0,14,291.6,0,0.0857,0,Windows,2,Portugal,6,Returner,0
107479797,9-Oct-20,1,43.4,0,0,30,775.8883,0,0.0069,0,Windows,2,Brazil,2,New_Access,0
107497477,15-Jun-20,1,108.8,0,0,15,387.4,0,0.0042,0,Windows,2,Portugal,2,New_Access,0
107584093,23-Oct-20,5,75.6635,0,0,4,35.9278,0,0.0565,0,Windows,5,Italy,2,Returner,0
107642552,9-Oct-20,3,423,0,0,24,1203.5333,0,0.0111,0,iOS,1,Portugal,4,New_Access,0
107734375,11-May-20,0,0,0,0,2,404,0,0.1,0,Windows,2,Other,13,Returner,0
107741808,19-Nov-20,0,0,0,0,11,887,0.0545,0.097,0,Windows,5,Spain,1,Returner,0
107766766,13-May-20,0,0,0,0,8,227,0.025,0.05,0,MacOSX,2,Other,13,Returner,0
107768999,13-Feb-20,10,1005.6667,0,0,36,2111.3417,0.0043,0.0145,11.4394,Windows,6,Portugal,2,Returner,1
107773289,5-May-20,3,14,0,0,154,4712.7693,0.0013,0.0143,3.8904,Windows,5,Other,3,Returner,0
107995252,26-Mar-20,9,183.5,2,29.6667,52,2211.6083,0.0089,0.0103,1.8165,iOS,2,Portugal,2,Returner,1
108274913,29-Dec-20,7,135.6667,2,190.4167,132,7356.4024,0.0045,0.0176,9.194,iOS,1,Brazil,10,Returner,0
108428533,12-Nov-20,2,33.4,0,0,35,1795.925,0,0.01,0,Windows,2,Portugal,3,Returner,0
108441072,24-Dec-20,0,0,0,0,1,0,0.2,0.2,0,Windows,2,Portugal,1,Returner,0
108511945,5-Nov-20,6,102,0,0,11,501.5,0,0.0071,0,iOS,1,Portugal,8,New_Access,0
108655685,24-Nov-20,13,442.6,6,164.625,107,4928.9274,0.0168,0.0285,1.4519,MacOSX,2,Portugal,2,Returner,1
108661612,24-May-20,5,60,1,0,10,647.6667,0.0167,0.04,0,Windows,4,Portugal,2,Returner,0
108725907,26-Mar-20,7,120.5,0,0,19,1011.5,0,0.0095,0,Windows,2,Portugal,1,Returner,0
108785509,8-Nov-20,0,0,0,0,10,664.5,0,0.04,0,Windows,2,Germany,2,New_Access,0
108789681,8-May-20,0,0,0,0,19,160.5,0,0.0421,0,Windows,2,Brazil,6,Returner,0
108811566,2-Dec-20,1,45.5,3,1021.6667,130,3376.0276,0.0075,0.0292,0,Windows,2,Portugal,1,Returner,0
108865287,19-Mar-20,0,0,0,0,2,0,0.2,0.2,0,MacOSX,2,Spain,1,Returner,0
108868307,27-Nov-20,5,249.8,2,50,229,8866.1674,0.0071,0.0243,0,Windows,2,Portugal,1,Returner,0
109132586,4-Mar-20,3,62,2,193,4,139,0,0.0125,0,MacOSX,2,Portugal,10,Returner,0
109167930,14-May-20,2,7,0,0,3,11,0,0.0333,0,iOS,5,Portugal,4,Returner,0
109256317,13-Dec-20,1,5,0,0,108,2367.4,0,0.0038,0,Windows,2,Portugal,2,New_Access,0
109293471,19-Nov-20,0,0,0,0,54,1975.456,0.0037,0.016,0,Windows,2,United Kingdom,2,Returner,0
109454128,9-May-20,0,0,0,0,13,324,0,0.003,0,Windows,2,France,2,New_Access,0
109518386,22-Mar-20,1,26,1,0,55,872.4,0.0035,0.0175,0,Windows,5,Portugal,1,Returner,0
109537022,12-Nov-20,1,55.5,1,18,19,444.75,0,0.0105,21.2113,Windows,5,Portugal,10,New_Access,1
109663705,29-May-20,4,165,0,0,59,3096.375,0.0075,0.0192,8.1262,Windows,2,Portugal,2,Returner,1
109696506,26-Feb-20,0,0,0,0,16,588.3333,0,0.025,0,Windows,4,Portugal,1,Returner,0
109784053,27-May-20,2,67,0,0,59,468.1917,0,0.0033,0,Windows,2,Spain,2,Returner,0
109806796,5-Nov-20,12,244.25,0,0,110,4006.3593,0.01,0.0305,11.1033,Windows,7,Portugal,1,Returner,0
109832280,25-Jul-20,9,115.4,0,0,29,1514.7033,0.005,0.0113,4.7021,MacOSX,2,Germany,1,Returner,0
109859723,14-May-20,0,0,0,0,23,178.6,0.087,0.0928,0,MacOSX,2,France,3,Returner,0
109916207,11-May-20,0,0,0,0,4,36,0.1,0.15,0,Windows,5,Portugal,3,Returner,0
109940423,13-May-20,4,132.6667,0,0,25,773.5595,0,0.0276,5.1671,MacOSX,2,France,2,Returner,1
110083945,8-Nov-20,0,0,0,0,10,122.1667,0,0.02,0,Android,1,Portugal,5,New_Access,0
110115326,21-Feb-20,0,0,0,0,23,501.6667,0.0087,0.0188,0,Android,1,Brazil,2,Returner,0
110135998,30-Mar-20,0,0,0,0,9,280,0,0.0222,0,Windows,2,Portugal,2,Returner,0
110232818,29-Dec-20,1,30.25,2,0,20,543.9583,0.0095,0.027,0,MacOSX,2,Portugal,2,Returner,0
110239512,23-Nov-20,4,43.225,0,0,13,293.725,0.0222,0.0643,0,Windows,2,Spain,2,Returner,0
110365688,7-May-20,9,184,5,61,68,1986.2515,0,0.0096,17.1961,Windows,6,France,3,Returner,0
110373077,9-Nov-20,0,0,0,0,11,296.5,0.0364,0.0818,0,Windows,2,Portugal,1,Returner,0
110373962,26-Oct-20,6,132.025,3,79.7,45,1620.1417,0,0.0093,0,Android,1,Portugal,2,Returner,0
110434691,6-Nov-20,7,228.25,0,0,39,968.0924,0.0155,0.023,7.4972,MacOSX,2,Portugal,1,Returner,0
110509191,22-Oct-20,1,15.2,0,0,6,199.6,0,0.0143,0,Android,8,France,6,New_Access,0
110552454,29-May-20,0,0,0,0,5,99.6667,0,0.04,0,Windows,2,Switzerland,4,Returner,0
110573031,1-Nov-20,0,0,0,0,5,185,0,0.04,0,MacOSX,2,Italy,6,New_Access,0
110624538,20-Dec-20,6,571.5,0,0,49,1196.25,0.0078,0.019,0,Windows,2,Spain,13,Returner,0
110678582,31-Oct-20,2,104.3,0,0,48,2307.6612,0.0255,0.0355,4.3481,Android,1,Brazil,1,Returner,0
110760914,18-Dec-20,4,20.5,1,59,5,83.5,0,0.0148,0,Windows,2,United Kingdom,3,Returner,0
110816776,21-Nov-20,6,1489.0417,0,0,12,879.8,0,0.0056,0,Windows,2,Brazil,2,New_Access,0
110897183,13-May-20,5,73.5,1,0,79,5664.146,0.0454,0.0591,2.3949,Windows,2,Other,1,Returner,0
110942393,24-Dec-20,0,0,0,0,6,185.5,0.0167,0.05,0,Windows,2,Spain,8,New_Access,0
111035191,7-Mar-20,2,75,0,0,14,851,0,0.0143,22.8891,Android,1,Portugal,2,New_Access,1
111180071,26-Sep-20,7,186.6667,7,790.0067,57,1720.4447,0.001,0.0079,3.801,MacOSX,2,Other,2,Returner,0
111281333,2-Aug-20,4,104.2,0,0,19,456.9,0,0.0125,0,Windows,2,Germany,6,New_Access,0
111331587,29-Sep-20,4,39.48,0,0,33,549.78,0,0.0056,0,MacOSX,2,Brazil,1,New_Access,0
111480831,13-Feb-20,0,0,0,0,6,1566.5,0.05,0.0667,0,Android,1,Portugal,3,Returner,0
111481647,12-Aug-20,0,0,0,0,1,0,0.2,0.2,0,MacOSX,2,France,3,Returner,0
111509593,11-May-20,3,112,0,0,4,111.6667,0,0.0286,0,MacOSX,2,Brazil,5,Returner,0
111668461,24-Dec-20,0,0,0,0,15,314.5,0,0.0133,0,Ubuntu,13,United Kingdom,15,Other,0
111827133,21-Mar-20,7,230.1667,3,222,140,8961.4077,0.0014,0.013,0,Windows,5,France,1,Returner,0
111839185,30-May-20,0,0,0,0,1,0,0.2,0.2,0,Android,1,Brazil,1,Returner,0
111857379,8-May-20,0,0,0,0,4,112,0,0.075,0,Windows,2,Brazil,3,Returner,0
111864404,10-May-20,4,738,0,0,21,664.3333,0,0.0153,0,Windows,2,Portugal,2,Returner,0
111870453,10-Jun-20,2,124.4,2,7,7,294.6,0,0.02,0,MacOSX,2,Other,11,New_Access,0
111929000,22-May-20,2,101.5,0,0,16,692.6667,0,0.0125,146.2388,Windows,2,Switzerland,2,New_Access,1
111975865,12-Oct-20,14,512.5806,4,211,61,2362.7246,0.0056,0.0245,27.6162,Android,1,Spain,1,Returner,0
112079943,28-Dec-20,1,14,0,0,5,92.3333,0,0.0167,0,Windows,4,Portugal,1,New_Access,0
112112763,30-Nov-20,0,0,0,0,1,0,0.2,0.2,0,Android,1,Spain,3,Returner,0
112155146,16-Nov-20,3,36,0,0,3,29.5,0,0.04,0,Windows,10,Spain,2,Other,0
112174744,4-Sep-20,1,36.3,0,0,1,0,0.0533,0.0933,0,MacOSX,2,Spain,6,Returner,1
112309170,29-May-20,0,0,0,0,10,108,0.04,0.074,0,Android,8,Portugal,14,Returner,0
112366949,30-Dec-20,0,0,0,0,2,17,0,0.1,0,Windows,2,Portugal,10,Returner,0
112383424,1-Mar-20,0,0,0,0,7,496.75,0,0.0111,0,MacOSX,2,Other,1,Returner,0
112496184,5-Dec-20,1,3,1,302,7,539.5,0,0.0125,0,Windows,2,Brazil,2,Other,0
112556258,9-Mar-20,0,0,0,0,7,258.5,0.0286,0.0714,0,MacOSX,2,Other,1,Returner,0
112662646,19-May-20,6,63,1,16,187,4987.6889,0.0031,0.0111,10.8019,iOS,1,France,2,Returner,0
112671811,12-May-20,1,15,0,0,11,224,0.0167,0.0222,47.6557,Windows,5,Portugal,4,Returner,1
112752644,18-Nov-20,0,0,0,0,39,902.6528,0,0.0089,0,Windows,2,Portugal,2,New_Access,0
112759044,5-Dec-20,3,119.5,0,0,17,673.625,0.02,0.02,0,MacOSX,2,Portugal,10,Returner,0
112761627,27-May-20,3,238.4,0,0,8,132.2333,0,0.0074,0,MacOSX,2,Portugal,12,Returner,0
112895439,19-Dec-20,0,0,0,0,11,357,0.0182,0.0364,0,Windows,2,Italy,2,Returner,0
113028319,2-Mar-20,0,0,0,0,10,60.5,0.02,0.04,0,Windows,2,Spain,1,Returner,0
113288520,30-Aug-20,5,140.6,0,0,16,423.5,0.0125,0.0125,0,MacOSX,2,Portugal,3,Returner,0
113348980,3-Sep-20,10,172.3278,0,0,20,902.9738,0,0.0099,0,iOS,2,Brazil,4,Returner,0
113405160,13-Jun-20,0,0,0,0,25,1131.8,0.024,0.0331,0,Android,1,Brazil,1,Returner,0
113465078,30-Dec-20,0,0,0,0,10,244.6667,0.005,0.065,0,Android,1,Portugal,1,Returner,0
113512740,10-Sep-20,12,150.1333,0,0,17,231,0.016,0.0393,0,MacOSX,2,Spain,3,Returner,0
113604396,29-May-20,0,0,0,0,1,0,0.2,0.2,0,Android,1,France,2,Returner,0
113604533,29-Dec-20,6,122.25,1,33.5,60,2719.6548,0.0066,0.0121,0,Android,2,Portugal,2,Returner,0
113630709,2-Dec-20,0,0,1,62.5,67,2876.4417,0.0152,0.0273,0,Windows,2,Portugal,1,Returner,0
113677580,28-Nov-20,1,0,0,0,39,1159.5417,0.0013,0.0313,0,Windows,2,Other,2,Returner,1
113819665,24-Dec-20,2,80,6,141.75,47,3573.4722,0.0038,0.012,34.8566,Windows,2,Spain,1,Returner,0
113922203,24-Jul-20,2,13,0,0,66,2061.9265,0.0132,0.0142,0,MacOSX,2,Other,3,Returner,0
113982023,15-Mar-20,4,57,0,0,7,591,0.0067,0.0333,0,Android,2,Other,6,Returner,0
113997299,2-Nov-20,0,0,0,0,4,163.5,0,0.025,0,MacOSX,6,France,2,Returner,0
114207529,5-Aug-20,2,117.8,0,0,17,586.1,0,0.0111,0,MacOSX,2,Italy,13,Returner,0
114280844,3-May-20,0,0,0,0,26,338.2333,0.0249,0.0783,0,Windows,2,France,2,Returner,0
114490148,28-May-20,0,0,1,3,51,5407.7889,0.0019,0.0201,7.7935,Windows,2,Spain,2,Returner,0
114529699,13-May-20,0,0,1,6,50,1306.1,0.0041,0.0122,5.1377,iOS,1,Brazil,15,Returner,1
114644134,20-Nov-20,0,0,0,0,13,443,0.0308,0.0538,0,Windows,5,Portugal,1,Returner,0
114712712,21-May-20,5,85.6667,0,0,25,1194.5,0,0.0077,11.5192,Windows,2,Portugal,2,New_Access,1
114786483,24-May-20,0,0,2,15,15,328.4167,0,0.0376,0,Windows,2,Portugal,4,Returner,0
115033822,25-May-20,0,0,0,0,1,0,0.2,0.2,0,MacOSX,2,Other,3,Returner,0
115054012,18-Nov-20,0,0,4,218.25,25,402.043,0.0071,0.022,0,Android,1,Portugal,10,Returner,1
115077482,3-May-20,3,117.5,0,0,14,285.4167,0,0.0063,0,MacOSX,2,Portugal,2,New_Access,0
115283082,21-Sep-20,2,50.4,0,0,14,497.8,0.0115,0.0183,0,MacOSX,6,Portugal,2,Returner,0
115342328,13-Mar-20,5,333,2,166,12,151.9,0.0311,0.0644,0,Windows,2,Portugal,1,Returner,0
115346893,28-May-20,6,91.9848,3,58.9524,54,2407.3228,0.0034,0.0104,0,MacOSX,2,Spain,4,Returner,0
115513750,17-Dec-20,0,0,1,0,131,4597.5753,0.0068,0.0288,0,MacOSX,2,Portugal,2,Returner,0
115555279,4-Jun-20,2,165.1333,0,0,87,3220.3367,0.0046,0.0195,0,Windows,5,Germany,1,Returner,1
115555649,16-Dec-20,0,0,0,0,35,729.2917,0,0.0094,0,Windows,2,Spain,2,Returner,0
115606992,17-Jul-20,4,97.2,2,16,26,690.5667,0,0.0037,59.3398,Windows,4,Germany,2,Returner,1
115620086,6-Feb-20,0,0,0,0,1,0,0.2,0.2,0,Windows,2,Italy,3,Returner,0
115625512,8-Nov-20,0,0,0,0,5,883.6,0,0,125.8939,Windows,2,Brazil,2,Returner,1
115628954,23-May-20,2,0,0,0,0,0,0.2,0.2,0,Android,2,Portugal,6,Returner,0
115736265,6-Nov-20,0,0,0,0,90,2636.1389,0.0233,0.0458,0,Windows,2,Portugal,2,Returner,0
115751235,11-Mar-20,5,248.5,0,0,11,456.6667,0,0.0036,0,MacOSX,2,Brazil,2,New_Access,0
115899108,19-May-20,4,75.6,0,0,94,1576.2051,0.0108,0.0155,0,MacOSX,2,United Kingdom,3,Returner,0
115944497,5-Nov-20,0,0,0,0,97,2300.8913,0,0.0157,0,Windows,2,Portugal,2,Returner,0
116264283,25-Oct-20,1,80.6,0,0,21,479.5857,0.005,0.0106,10.8976,Android,1,Spain,2,Returner,1
116278054,15-Nov-20,0,0,0,0,28,690.9583,0,0.0229,0,Windows,2,Other,2,Returner,0
116294000,4-Mar-20,3,168,0,0,7,296.1667,0,0.0111,0,Windows,2,Spain,2,New_Access,0
116297229,14-Nov-20,0,0,0,0,7,340.5,0,0.0286,0,Windows,4,Brazil,2,New_Access,0
116326793,2-Oct-20,3,83.4,0,0,43,2013.6595,0,0.0091,0,Windows,2,Portugal,15,Returner,0
116343256,11-Oct-20,1,0,1,66.4,14,668.3167,0.0143,0.0286,44.8935,iOS,2,Portugal,15,Returner,1
116409449,24-Feb-20,0,0,0,0,2,15,0,0.1,0,Windows,4,Portugal,3,Returner,0
116442327,21-Dec-20,8,305.6667,1,0,35,796.25,0.0056,0.0116,0,Android,1,Spain,10,Returner,0
116560415,23-Aug-20,3,63.4,1,0,26,1115.4,0.0615,0.0871,0,MacOSX,2,Other,13,Returner,0
116732227,10-Dec-20,0,0,0,0,4,96.3333,0.0833,0.0875,0,Android,1,France,3,Returner,0
116758703,18-May-20,0,0,1,2,25,344.3214,0.0062,0.0333,0,Windows,2,Portugal,1,Returner,0
116776109,26-May-20,2,67.6667,1,17,7,258,0,0.0222,0,Android,1,Germany,4,Returner,0
116914677,25-Nov-20,7,112.375,0,0,24,916.5,0.011,0.0361,0,MacOSX,2,Spain,3,Returner,0
116991238,4-Dec-20,5,125.75,0,0,44,1113.3095,0.0083,0.0156,18.9161,MacOSX,2,Portugal,1,Returner,0
117004441,2-Mar-20,0,0,0,0,3,0,0.2,0.2,0,MacOSX,2,Other,3,Returner,0
117012648,3-Dec-20,0,0,0,0,2,15,0,0.1,0,Android,1,Portugal,10,Returner,0
117020912,16-Jun-20,0,0,0,0,27,925.2933,0.0148,0.0307,0,Android,1,Portugal,4,Returner,0
117030724,18-Nov-20,0,0,0,0,7,271.5,0,0.0286,0,Ubuntu,2,Spain,2,Returner,0
117110404,7-Mar-20,0,0,0,0,2,5,0,0.1,0,Windows,2,Portugal,13,Returner,0
117177946,29-Mar-20,0,0,0,0,3,77,0,0.0667,0,MacOSX,6,Portugal,9,Returner,0
117277352,3-Nov-20,0,0,0,0,13,597.625,0.0077,0.0346,0,MacOSX,2,Portugal,8,Returner,1
117353118,27-Dec-20,4,140.5833,2,385,53,1609.9901,0.0036,0.0289,7.2093,Windows,2,Switzerland,2,Returner,0
117665655,9-Nov-20,11,334.1667,2,34,140,4817.3695,0.0027,0.0096,11.9704,Windows,2,United Kingdom,2,Returner,0
117755326,12-Dec-20,0,0,4,147.5,45,1424.8397,0.0122,0.0317,0,Android,1,Spain,2,Returner,0
117815156,10-Mar-20,1,54,0,0,3,59,0,0.05,0,Windows,2,United Kingdom,8,Returner,0
117836272,7-May-20,6,88,0,0,17,538.9667,0,0.0219,0,Windows,2,Switzerland,4,Returner,0
117864831,16-Oct-20,11,455.0667,3,306.1,41,5194.8571,0.0018,0.014,22.6594,Windows,4,Portugal,15,Returner,0
117914802,29-Mar-20,2,22,1,49,22,602.1667,0,0.0087,0,Windows,2,Portugal,2,New_Access,0
117921289,12-Oct-20,2,27.4667,3,245.8,28,524.06,0.02,0.0547,20.426,Windows,2,Italy,1,Returner,1
117939159,8-Nov-20,1,4,0,0,28,877.6667,0,0.0036,0,Windows,2,United Kingdom,2,New_Access,0
117957237,6-Mar-20,0,0,1,0,7,188,0,0.0333,0,Windows,2,Portugal,8,New_Access,0
118039391,6-Mar-20,0,0,0,0,10,194,0.02,0.04,0,Windows,5,Italy,1,Returner,0
118103941,31-May-20,3,53.25,1,77,198,3057.8095,0,0.0027,11.9791,iOS,1,Switzerland,1,Returner,1
118115950,15-May-20,0,0,0,0,2,0,0.2,0.2,0,Android,1,Portugal,3,Returner,0
118157247,31-May-20,1,6,0,0,29,354.8333,0,0.0103,0,Android,1,Portugal,1,Returner,0
118185612,9-Sep-20,2,40.8,0,0,45,1668.1252,0.0044,0.0241,47.5736,Android,1,Brazil,2,Returner,0
118206976,26-Jun-20,9,551.7944,4,124.2,94,5579.3159,0,0.0073,0,Windows,2,Switzerland,2,New_Access,0
118280195,14-Nov-20,1,4,0,0,30,1409.5336,0,0.028,0,MacOSX,2,Spain,2,Returner,0
118284009,7-May-20,3,9,0,0,22,169.5,0.0091,0.0318,0,Windows,4,Brazil,3,Returner,0
118450987,5-May-20,1,24.5,0,0,46,1525.6667,0,0.0064,107.217,Windows,2,France,4,Returner,1
118558182,24-Mar-20,0,0,0,0,24,387.8846,0.025,0.0381,0,Windows,2,Spain,3,Returner,0
118577936,1-Mar-20,0,0,0,0,3,27,0.0667,0.1333,0,Windows,2,Portugal,13,Returner,0
118628360,20-May-20,0,0,0,0,1,0,0.2,0.2,0,MacOSX,2,Portugal,13,Returner,0
118689025,18-Nov-20,5,142.75,0,0,76,1523.578,0.013,0.0211,0,Windows,2,Portugal,1,Returner,0
118701049,23-May-20,3,40,0,0,10,423.6667,0,0.0182,0,iOS,2,Portugal,11,Returner,0
118712669,7-May-20,1,7,0,0,15,421.5,0,0.0333,0,MacOSX,2,Portugal,3,Returner,0
118750585,26-Nov-20,3,57.425,3,55,11,281.425,0.0042,0.0531,0,Windows,2,Brazil,2,Returner,0
118801173,19-Mar-20,3,187,2,41,48,1769.6974,0.0006,0.0116,16.7153,Windows,2,Spain,2,Returner,0
118983451,18-Dec-20,0,0,1,13,116,4097.404,0.0165,0.0225,0,MacOSX,2,Portugal,13,Returner,0
119026268,27-Nov-20,5,61.875,0,0,164,4389.8875,0.0012,0.0102,6.6642,Windows,2,Portugal,2,Returner,1
119170834,5-Oct-20,0,0,0,0,6,1183.2,0.0333,0.0667,0,Windows,6,France,1,Returner,0
119197826,4-Sep-20,0,0,0,0,1,15.6,0,0,47.7918,Android,1,Other,3,New_Access,1
